distrito,nombre_via,lat_inicio,lon_inicio,lat_fin,lon_fin,longitud_metros,tiempo_estimado_min,tiempo_normal,tiempo_punta,tiempo_noche
Miraflores,Calle Hernando de Lavalle,-12.1276021,-77.0361476,-12.1268064,-77.0371039,136.32,0.27,0.27,0.4,0.22
Miraflores,Calle Hernando de Lavalle,-12.1276021,-77.0361476,-12.1273755,-77.034986,128.9,0.26,0.26,0.39,0.21
Miraflores,Calle Alfredo Salazar,-12.111242,-77.0376446,-12.1104912,-77.0383716,114.72,0.23,0.23,0.34,0.18
Miraflores,Avenida Santa Cruz,-12.111242,-77.0376446,-12.1108207,-77.0373209,58.43,0.12,0.12,0.18,0.1
Miraflores,Avenida Santa Cruz,-12.111242,-77.0376446,-12.112207,-77.038386,133.83,0.27,0.27,0.4,0.22
Miraflores,Óvalo Gutiérrez,-12.110683,-77.037096,-12.1107175,-77.0369635,14.92,0.03,0.03,0.04,0.02
Miraflores,Avenida Comandante Espinar,-12.1107175,-77.0369635,-12.1115713,-77.0369567,94.45,0.19,0.19,0.29,0.15
Miraflores,Óvalo Gutiérrez,-12.1107175,-77.0369635,-12.110705,-77.0368123,16.52,0.03,0.03,0.04,0.02
Miraflores,Avenida Santa Cruz,-12.1187156,-77.0426569,-12.1178846,-77.0423214,98.92,0.2,0.2,0.3,0.16
Miraflores,Plaza Centroamérica,-12.1187156,-77.0426569,-12.1187461,-77.0429786,35.18,0.07,0.07,0.11,0.06
Miraflores,Calle 2 de Mayo,-12.1178846,-77.0423214,-12.1179071,-77.0416553,72.55,0.15,0.15,0.22,0.12
Miraflores,Avenida Santa Cruz,-12.1178846,-77.0423214,-12.117077,-77.0419527,97.94,0.2,0.2,0.3,0.16
Miraflores,Avenida Santa Cruz,-12.1178846,-77.0423214,-12.1187156,-77.0426569,98.92,0.2,0.2,0.3,0.16
Miraflores,Avenida Santa Cruz,-12.117077,-77.0419527,-12.1161915,-77.04154,107.77,0.22,0.22,0.33,0.18
Miraflores,Avenida Santa Cruz,-12.117077,-77.0419527,-12.1178846,-77.0423214,97.94,0.2,0.2,0.3,0.16
Miraflores,Avenida Mariscal La Mar,-12.117077,-77.0419527,-12.1168598,-77.0421708,33.78,0.07,0.07,0.11,0.06
Miraflores,Calle Piura,-12.1161915,-77.04154,-12.1161942,-77.041099,48.01,0.1,0.1,0.15,0.08
Miraflores,Avenida Santa Cruz,-12.1161915,-77.04154,-12.1151402,-77.0406987,148.03,0.3,0.3,0.45,0.24
Miraflores,Avenida Santa Cruz,-12.1161915,-77.04154,-12.117077,-77.0419527,107.77,0.22,0.22,0.33,0.18
Miraflores,Avenida Santa Cruz,-12.1151402,-77.0406987,-12.1161915,-77.04154,148.03,0.3,0.3,0.45,0.24
Miraflores,Calle Triana,-12.1151402,-77.0406987,-12.114406,-77.0414247,113.32,0.23,0.23,0.34,0.18
Miraflores,Avenida Santa Cruz,-12.1151402,-77.0406987,-12.1146981,-77.0403593,61.29,0.12,0.12,0.18,0.1
Miraflores,Calle Mariscal Sucre,-12.1131619,-77.0391178,-12.1126313,-77.0396604,83.27,0.17,0.17,0.26,0.14
Miraflores,Avenida Santa Cruz,-12.1131619,-77.0391178,-12.112207,-77.038386,132.3,0.26,0.26,0.39,0.21
Miraflores,Avenida Santa Cruz,-12.1131619,-77.0391178,-12.1141426,-77.0399205,139.3,0.28,0.28,0.42,0.22
Miraflores,Calle Lino Alarco,-12.112207,-77.038386,-12.1122246,-77.0380255,39.29,0.08,0.08,0.12,0.06
Miraflores,Avenida Santa Cruz,-12.112207,-77.038386,-12.111242,-77.0376446,133.83,0.27,0.27,0.4,0.22
Miraflores,Avenida Santa Cruz,-12.112207,-77.038386,-12.1131619,-77.0391178,132.3,0.26,0.26,0.39,0.21
Miraflores,Avenida José Pardo,-12.1189469,-77.0404086,-12.1189379,-77.0411186,77.29,0.15,0.15,0.22,0.12
Miraflores,Plaza Morales Barros,-12.1189469,-77.0404086,-12.1190841,-77.0404065,15.18,0.03,0.03,0.04,0.02
Miraflores,Plaza Morales Barros,-12.1190841,-77.0404065,-12.1192304,-77.0403233,18.55,0.04,0.04,0.06,0.03
Miraflores,Calle Martín Napanga,-12.1193227,-77.0401177,-12.1201009,-77.0401064,86.1,0.17,0.17,0.26,0.14
Miraflores,Plaza Morales Barros,-12.1193227,-77.0401177,-12.1192297,-77.0398676,29.1,0.06,0.06,0.09,0.05
Miraflores,Plaza Morales Barros,-12.1192297,-77.0398676,-12.1190902,-77.0397867,17.77,0.04,0.04,0.06,0.03
Miraflores,Avenida José Pardo,-12.1190902,-77.0397867,-12.1190909,-77.0390181,83.67,0.17,0.17,0.26,0.14
Miraflores,Plaza Morales Barros,-12.1190902,-77.0397867,-12.1189474,-77.0397829,15.8,0.03,0.03,0.04,0.02
Miraflores,Plaza Morales Barros,-12.1186997,-77.0400672,-12.1187942,-77.040326,30.05,0.06,0.06,0.09,0.05
Miraflores,Avenida Mariscal La Mar,-12.1187942,-77.040326,-12.1179248,-77.0411331,130.26,0.26,0.26,0.39,0.21
